PModel,Task,OpType,Opt,InsCount,Timer,Time,LNum,AvTime,AbsErr,RelErr,TaskPerf
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,11,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.62e-09,12,2.87156e-09,2.51562e-10,0.0876047,3.81679e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,13,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,14,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.62e-09,15,2.87156e-09,2.51562e-10,0.0876047,3.81679e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,16,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,17,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,18,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.62e-09,19,2.87156e-09,2.51562e-10,0.0876047,3.81679e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,20,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.62e-09,21,2.87156e-09,2.51562e-10,0.0876047,3.81679e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.63e-09,22,2.87156e-09,2.41563e-10,0.0841223,3.80228e+08
AMD Ryzen 3600,sqrt_f64,f64,O3,17,high_resolution_clock,2.62e-09,23,2.87156e-09,2.51562e-10,0.0876047,3.81679e+08
